Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
2024-07-22,PA010,New York,Tokyo,Economy,2380,Yes,0,Egg Free
2024-09-28,PA008,New York,Perth,Economy,1855,No,2,Vegetarian
2024-04-20,PA002,London,New York,Economy,3490,Yes,1,Vegan
2024-01-23,PA010,New York,Tokyo,Premium Economy,825,Yes,1,Vegetarian
2024-10-01,PA008,New York,Perth,Business Class,634,No,0,Vegetarian
2024-03-04,PA007,Perth,New York,Business Class,458,No,3,Nut Free
2024-06-05,PA006,London,Tokyo,First Class,618,Yes,3,Vegan
2024-02-25,PA010,New York,Tokyo,Premium Economy,1435,No,0,None
2024-03-30,PA004,London,Perth,First Class,446,Yes,1,Nut Free
2024-06-14,PA006,London,Tokyo,Premium Economy,1062,Yes,3,Egg Free
2024-07-15,PA006,London,Tokyo,First Class,499,Yes,1,Egg Free
2024-02-25,PA004,London,Perth,Premium Economy,827,Yes,0,Vegetarian
2024-07-26,PA004,London,Perth,Economy,2245,Yes,1,Vegan
2024-03-29,PA004,London,Perth,Economy,2730,No,2,Vegan
2024-06-07,PA005,Tokyo,London,Business Class,294,No,2,Egg Free
2024-06-30,PA009,Tokyo,New York,First Class,236,No,1,Vegetarian
2024-08-12,PA011,Tokyo,Perth,Economy,2570,No,2,Vegan
2024-12-10,PA004,London,Perth,Business Class,391,Yes,2,Vegetarian
2024-11-05,PA010,New York,Tokyo,First Class,397,No,2,None
2024-09-23,PA005,Tokyo,London,First Class,626,Yes,2,Vegetarian
2024-03-19,PA003,Perth,London,First Class,585,No,2,Egg Free
2024-02-19,PA011,Tokyo,Perth,Premium Economy,630,No,3,Nut Free
2024-03-10,PA011,Tokyo,Perth,Business Class,556,No,3,Dairy Free
2024-06-04,PA006,London,Tokyo,First Class,537,Yes,2,Dairy Free
2024-04-16,PA008,New York,Perth,First Class,216,Yes,0,Vegan
2024-06-21,PA004,London,Perth,Business Class,646,Yes,3,None
2024-12-21,PA006,London,Tokyo,Business Class,307,No,3,Nut Free
2024-10-20,PA003,Perth,London,Economy,2215,Yes,3,Nut Free
2024-02-17,PA003,Perth,London,Business Class,784,Yes,3,Vegan
2024-12-18,PA002,London,New York,Premium Economy,917,No,2,Dairy Free
2024-05-28,PA005,Tokyo,London,Economy,1505,Yes,2,Dairy Free
2024-06-19,PA003,Perth,London,First Class,454,Yes,1,Dairy Free
2024-02-11,PA012,Perth,Tokyo,Premium Economy,1142,Yes,3,Vegan
2024-01-17,PA006,London,Tokyo,Business Class,712,Yes,3,Vegetarian
2024-06-16,PA012,Perth,Tokyo,Business Class,555,No,1,Vegetarian
2024-03-07,PA006,London,Tokyo,Business Class,811,No,0,Egg Free
2024-07-29,PA008,New York,Perth,Economy,2225,No,0,Nut Free
2024-07-04,PA004,London,Perth,Economy,2705,No,0,Egg Free
2024-04-08,PA003,Perth,London,First Class,525,Yes,2,Dairy Free
2024-04-12,PA007,Perth,New York,First Class,696,Yes,1,Vegetarian
2024-09-03,PA004,London,Perth,Economy,3445,Yes,0,Vegetarian
2024-11-02,PA008,New York,Perth,First Class,242,Yes,2,Egg Free
2024-01-11,PA002,London,New York,First Class,406,Yes,3,Vegan
2024-01-06,PA011,Tokyo,Perth,Premium Economy,632,No,1,Dairy Free
2024-08-31,PA012,Perth,Tokyo,Premium Economy,1207,No,2,Dairy Free
2024-03-26,PA008,New York,Perth,Business Class,484,No,2,Egg Free
2024-08-07,PA005,Tokyo,London,Business Class,739,Yes,0,Nut Free
2024-11-17,PA009,Tokyo,New York,First Class,578,No,2,Vegan
2024-02-12,PA010,New York,Tokyo,Premium Economy,842,No,2,Vegan
2024-05-05,PA012,Perth,Tokyo,Business Class,788,No,1,Egg Free
2024-02-25,PA010,New York,Tokyo,Economy,1495,Yes,3,Egg Free
2024-08-30,PA005,Tokyo,London,First Class,417,No,2,Egg Free
2024-12-04,PA003,Perth,London,Economy,2820,Yes,0,Vegetarian
2024-02-13,PA005,Tokyo,London,First Class,693,Yes,2,None
2024-12-24,PA006,London,Tokyo,Premium Economy,1710,No,0,Vegan
2024-03-23,PA005,Tokyo,London,Economy,3375,Yes,2,None
2024-10-09,PA012,Perth,Tokyo,Economy,1340,Yes,2,Nut Free
2024-07-05,PA005,Tokyo,London,Premium Economy,1677,Yes,3,Dairy Free
2024-05-19,PA004,London,Perth,Business Class,811,No,1,Vegetarian
2024-06-09,PA003,Perth,London,Business Class,432,Yes,1,Vegan
2024-03-21,PA002,London,New York,First Class,230,No,3,Nut Free
2024-10-06,PA001,New York,London,Business Class,349,No,2,None
2024-04-16,PA010,New York,Tokyo,Economy,3105,Yes,1,Dairy Free
2024-08-19,PA001,New York,London,Economy,2550,Yes,3,Dairy Free
2024-07-16,PA003,Perth,London,First Class,284,Yes,3,Nut Free
2024-05-31,PA009,Tokyo,New York,Economy,2450,Yes,3,None
2024-07-25,PA007,Perth,New York,Business Class,573,Yes,1,Vegan
2024-01-06,PA008,New York,Perth,Premium Economy,820,No,3,None
2024-06-01,PA006,London,Tokyo,First Class,416,No,2,Vegan
2024-11-21,PA006,London,Tokyo,Economy,2270,Yes,2,Dairy Free
2024-07-28,PA010,New York,Tokyo,Premium Economy,1020,Yes,0,Nut Free
2024-11-06,PA001,New York,London,Business Class,546,No,1,Dairy Free
2024-03-16,PA011,Tokyo,Perth,Economy,3210,No,0,Nut Free
2024-08-16,PA007,Perth,New York,Premium Economy,1665,Yes,3,Egg Free
